Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Ruminococcaceae_UCG-002,1253,904,1129,404,1070,789,1196,1158,0,0,0,1736,5705,2463,5128,2560,18,2847,2327,1977,9793,7860,0,58,631,0,0,0,3625,26,1843,91,202,1174,0,0,0,431,0,0,1162,2605,0,0,325,0,565,0,2774,0,724,0,0,156,0,372,397,0,0,13234,56,3164,818,217,979,159,2198,569,178
Ruminococcaceae_UCG-003,353,254,311,209,589,70,297,238,0,0,0,133,137,0,0,0,0,359,348,85,596,0,0,0,0,0,0,0,0,0,542,0,95,575,0,0,0,0,97,0,0,481,0,0,246,0,118,0,0,0,182,0,0,109,0,140,0,0,0,641,68,1373,201,241,241,170,290,271,167
Ruminococcaceae_UCG-005,1024,158,165,223,1348,467,246,260,0,0,0,139,610,538,656,115,0,194,555,32,2035,1103,0,15,3799,0,0,0,1161,3173,428,3282,131,355,0,0,1247,191,0,0,471,629,0,1242,19,0,653,0,141,0,385,0,0,75,665,0,885,528,3805,23238,4577,3027,87,120,159,198,1179,109,66
Ruminococcaceae_UCG-009,16,10,8,0,15,0,4,0,0,0,0,0,121,0,0,0,0,39,0,69,0,0,0,0,50,0,0,0,15,45,44,0,12,8,0,0,0,0,19,0,0,0,0,0,124,0,0,0,0,0,0,0,0,25,0,5,0,0,44,4,0,0,0,7,7,11,0,4,5
Ruminococcaceae_UCG-010,206,36,109,51,41,131,11,22,0,0,0,0,0,0,0,0,0,10,172,0,632,0,0,0,45,0,0,0,0,176,36,18,0,52,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,84,0,2894,787,43,41,74,7,436,0,19
Ruminococcaceae_UCG-013,27,235,194,354,242,0,938,483,0,0,0,0,217,0,111,31,2,151,19,34,0,194,0,0,385,0,60,0,73,18,151,419,50,164,0,1940,0,11,0,124,97,69,0,1073,0,0,320,16,0,0,557,0,0,30,348,31,37,0,33,901,14,47,161,254,144,68,0,556,115
Ruminococcaceae_UCG-014,659,2126,2507,2198,2587,241,2679,1944,0,0,0,0,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,1,371,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,25,0,0,454,136,10,0,0,0,0,0,2118,1331,1433,1645,514,812,1564,808
Ruminococcus_1,342,2206,1217,257,1812,318,3030,2816,0,0,0,0,437,67,0,0,0,2650,211,103,26,591,0,0,463,0,33,0,77,116,250,611,430,641,0,0,0,24,0,531,0,64,0,561,0,0,168,0,0,0,450,0,0,0,0,259,51,0,9,56,81,737,1548,225,1185,378,1089,1716,414
Ruminococcus_2,970,457,604,1487,13026,1025,429,484,0,0,0,9255,11642,9055,0,0,0,55,10135,4303,6837,0,0,0,3733,0,0,0,0,1258,951,4045,74,349,0,49,3366,0,0,0,0,2630,0,0,81,17,0,189,0,0,0,560,0,848,0,262,984,3446,1678,5474,5076,2051,498,896,438,3637,2657,897,387
Streptococcus,0,760,753,175,203,0,696,434,0,1027,2234,143,903,429,805,43,17,1976,123,387,270,426,0,0,74,35,0,20,105,37,115,112,19,510,788,78,48,14,211,190,32,35,69,185,791,276,151,452,401,63,655,1336,0,106,50,234,20,103,19,301,72,0,310,31,171,23,8,118,31
Subdoligranulum,1074,5007,5648,3471,4308,158,7139,6937,0,0,0,0,1168,463,969,45,0,2145,282,584,361,2387,491,1191,3655,0,21,0,2393,141,2303,433,98,1178,0,0,0,264,425,1445,164,367,0,0,85,0,0,8487,0,0,0,0,0,209,0,388,3168,0,48,129,0,2478,2172,2151,2880,534,469,455,184
Sutterella,8,0,0,0,11,84,0,0,1482,1081,0,0,0,0,214,544,316,473,226,0,407,2056,38,2569,24,0,140,459,0,146,0,150,0,0,0,0,650,0,0,0,0,81,0,37,0,0,0,0,0,0,0,0,0,0,50,0,0,406,66,0,559,0,0,0,0,0,336,0,0
Turicibacter,0,66,42,16,17,0,103,116,0,0,0,0,13,0,13,53,0,108,0,11,0,0,0,0,15,0,0,0,100,379,0,9,4,0,0,0,0,7,0,27,140,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,544,0,824,71,43,0,18,12,0,168,189
Tyzzerella,5,66,64,0,10,0,86,57,0,0,0,0,0,0,156,0,0,8,0,0,0,442,1216,351,0,0,18,0,5,0,12,41,0,0,0,0,2785,0,12,0,7,0,0,0,0,15,0,676,0,0,0,0,0,0,0,6,0,181,0,810,309,0,45,23,53,14,0,61,31
Veillonella,0,63,55,11,29,0,71,67,23,370,6378,130,122,70,0,0,39,352,12,223,0,673,1652,443,0,15357,326,754,0,0,60,0,193,50,4595,1467,0,6,1253,0,23,0,5233,128,176,416,32,32,812,8,0,1384,7233,0,0,80,0,0,0,0,0,0,24,7,27,0,0,26,9
