Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Anaeroglobus,1,1,1,1,1,1,1,1,4497,1,1,1,1,1,1,39,1589,1,1,1,1,1,1,1,1,1,457,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anaerotruncus,1012,113,205,41,37,161,138,214,1,1,385,116,29,26,239,6,1,41,623,87,2308,210,110,84,2464,1,23,1,80,456,25,849,28,59,1,238,731,11,6,458,114,361,1,216,156,1,64,107,125,1,57,1,1,35,266,35,599,242,567,1856,479,3522,53,21,165,1,549,86,62
Atopobium,1,1,1,1,1,1,1,1,1,5,137,10,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacteroides,125,4025,2227,3583,12296,798,9122,8526,1,164,1,8395,26042,5060,13279,13194,3352,32783,4579,13871,17881,36469,1,12725,8978,1,8873,15836,3357,3280,25528,15852,12974,11170,1,1,4553,1084,20826,1,5380,6068,1,6435,15764,40,1467,1,13756,27,277,8,10389,6888,1,10349,5822,3106,671,21981,13713,421,2705,2947,1802,6219,3467,15719,16188
Barnesiella,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80,1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bifidobacterium,154,227,400,817,757,34,405,436,1,36,1,7,1,1,50,179,34,70,1597,1,660,48,1,210,6880,1,2426,807,98,634,17,2246,432,441,1,1638,6906,4,249,1,331,534,1,11,39,42,1,1,1116,1,1,1,1,76,1,36,1553,3466,553,1,5345,316,147,618,268,172,120,166,83
Bilophila,45,1,11,55,61,26,1,10,1,1,1,426,850,235,411,497,241,215,102,119,516,322,1,225,332,1,147,117,182,145,610,368,467,158,2538,1323,1,36,485,219,133,94,1,368,1042,409,121,608,295,365,95,1,1512,138,278,161,277,1,36,897,255,210,1,47,8,15,104,1,1
Blautia,425,901,1409,509,783,156,690,698,1,246,1,800,1894,376,904,663,1,299,1271,364,838,2225,69,255,2422,1,683,494,891,141,1094,512,383,1229,1,2536,520,97,460,191,244,406,194,1323,216,1,1636,291,128,1,2365,113,1,251,858,284,539,148,6,3622,219,566,601,209,704,161,438,80,30
Brenneria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,120,1,859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Butyricicoccus,95,619,588,322,171,19,590,469,1,314,1,493,506,6,330,60,1,98,129,164,149,602,1,75,83,1,224,1,41,10,261,132,197,141,1,1,1,2,215,8,19,38,1,317,97,1,152,156,1,1,78,1,1,41,22,69,55,1,9,79,66,322,423,138,491,56,54,310,179
Butyricimonas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,75,34,1,1,47,50,221,38,1,89,1,1,48,33,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1,16,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,30,97,23,1,1,1,1,53,1,1
Campylobacter,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,530,1,1,8,1,1,1,1,1,117,92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Candidatus_Soleaferrea,1,1,1,1,1,1,7,12,1,1,1,17,1,15,9,7,1,21,1,24,37,11,1,1,25,1,7,1,6,23,10,14,1,2,1,1,42,1,1,21,1,5,1,1,2,1,8,8,1,1,5,3,1,1,1,1,1,7,1,45,82,5,1,1,1,1,1,1,1
Candidatus_Stoquefichus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,75,1,1,1,1,1,1,1,1,1,1,72,8,1,1,1,1,1,1,1,1
Caproiciproducens,1,1,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,49,396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,164,1,41,315,1,1,1,1,1,1,1,1
Catabacter,1,1,1,1,1,1,1,1,1,1,1,1,33,1,1,1,1,1,1,1,53,1,1,1,27,1,1,1,1,27,1,31,1,1,1,1,1,1,1,1,12,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,57,46,86,1,1,1,1,1,1,1,1
Christensenella,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,20,47,1,1,1,1,1,1,1,1,1
Christensenellaceae_R-7_group,2453,3179,4824,2228,5671,945,3878,4891,1,1,1,158,1814,684,1,15,1,1720,1319,418,3892,31,1,52,8996,1,91,1,2595,4061,410,558,16,125,1,1,399,79,11,167,314,370,1,509,55,1,600,1,61,1,2498,1,1,51,1,61,1935,190,3158,1825,1385,2584,1954,1418,3156,760,2525,933,467
